0	0
1	19
2	17
3	21
4	19
5	16
6	7
7	12
8	15
9	9
10	7
11	8
12	6
13	3
14	8
15	3
16	6
17	5
18	6
19	9
20	6
21	6
22	4
23	4
24	7
25	8
26	4
27	9
28	8
29	4
30	7
31	7
32	5
33	10
34	6
35	7
36	15
37	8
38	11
39	10
40	9
41	8
42	10
43	2
44	6
45	3
46	4
47	1
48	6
49	7
50	4
51	2
52	3
53	2
54	2
55	0
56	0
57	1
58	0
59	0
60	0
61	0
62	0
63	0
64	1
65	0
66	1
67	1
68	1
69	0
70	0
71	1
72	0
73	0
74	0
75	0
76	0
77	1
78	0
79	0
80	0
81	0
82	1
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	1
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	1
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
